place_id,name_x,address,city,state,zip,lat,lng,open_now,goog_price_level,goog_rating,goog_rating_count,type_of_place,phone_formatted,phone,site,distance,trip_time,goog_sent_pos,goog_sent_neu,goog_sent_neg,goog_sent_comp,goog_rev_avgrating,yelp_id,name_y,yelp_price_level,yelp_rating,yelp_rating_count,yelp_sent_pos,yelp_sent_neu,yelp_sent_neg,yelp_sent_comp,yelp_rev_avgrating,pred,goog_peoplesay,yelp_peoplesay
ChIJH1tN9Jq4woAR_na-TPGIkkA,Tengoku Ramen Bar,539 S Western Ave,Los Angeles,CA,90020,34.064184,-118.3094694,False,2.0,4.5,321,"['establishment', 'food', 'point_of_interest', 'restaurant']",(213) 388-8988,+12133888988,http://www.tengokuramen.com/,10926,1582,0.382,0.58,0.038400000000000004,0.8624799999999999,4.8,izNn-d8i3Md27D_e2alI-w,Tengoku Ramen Bar,2,4.5,490,0.318,0.665,0.017333333333333333,0.8841333333333333,3.6666666666666665,1,Yay!,Yay!
ChIJu2FPDbO-woARK0ThhrN3ceU,Kai Ramen West Hollywood,349 N La Cienega Blvd,Los Angeles,CA,90048,34.0775774,-118.3769191,False,2.0,4.5,54,"['establishment', 'food', 'point_of_interest', 'restaurant']",(310) 360-0322,+13103600322,https://kairamen.com/,4672,806,0.497,0.503,0.0,0.90258,4.8,eC7bhbablJ6jowPoYI2F0A,Kai Ramen,2,4.5,165,0.1386666666666667,0.7943333333333333,0.06699999999999999,0.4868666666666667,4.666666666666667,0,Yay!,Meh.
ChIJjcyN9sy_woARV-8JrEzubfA,JINYA Ramen Bar,4011 W Riverside Dr,Burbank,CA,91505,34.1521187,-118.3434782,False,2.0,4.4,439,"['establishment', 'food', 'point_of_interest', 'restaurant']",(818) 238-9875,+18182389875,http://jinya-ramenbar.com/,20044,2028,0.2406,0.7082,0.0512,0.55008,3.6,m3Q7m8tgANFJYEdqb6mI2Q,JINYA Ramen Bar,2,3.5,552,0.2853333333333333,0.6516666666666667,0.06333333333333334,0.6977333333333333,4.0,2,Meh.,Meh.
ChIJBYHJsKO-woARMSaHup8Qmzs,DAIKOKUYA,8873 Sunset Blvd,West Hollywood,CA,90069,34.0908757,-118.3852495,False,2.0,4.5,217,"['establishment', 'food', 'point_of_interest', 'restaurant']",(424) 335-0557,+14243350557,http://www.daikoku-ten.com/locations/sunset/,5012,784,0.33140000000000003,0.6686,0.0,0.8515799999999999,4.8,tzsgxANxtgYjm9A5hrw7cQ,Daikokuya Sunset,2,4.0,265,0.18466666666666667,0.7636666666666668,0.051666666666666666,0.26119999999999993,3.3333333333333335,0,Yay!,Meh.
ChIJI3aiXj66woARE-9OO8TiaFs,Ramen Yamadaya,11172 Washington Blvd,Culver City,CA,90232,34.0076434,-118.4124065,False,1.0,4.3,452,"['establishment', 'food', 'point_of_interest', 'restaurant']",(310) 815-8776,+13108158776,https://www.ramen-yamadaya.com/,8154,1024,0.3382,0.6618,0.0,0.8416,4.8,KD9izLKuNliixZx8U_X6OA,Ramen Yamadaya,2,3.5,1102,0.08133333333333333,0.8536666666666667,0.06533333333333334,0.04780000000000001,4.0,0,Yay!,Meh.
ChIJ96vcYiC_woARebIeHh5Z_I0,Shin Ramen,1655 N La Brea Ave,Los Angeles,CA,90028,34.1013584,-118.3454937,False,1.0,4.3,370,"['establishment', 'food', 'point_of_interest', 'restaurant']",(323) 874-4692,+13238744692,https://shinramenhollywood.com/,9093,1381,0.37140000000000006,0.6207999999999999,0.0076,0.901,4.8,VhKyyEcOll0rrOLAbZio3Q,Shin Ramen,2,4.0,747,0.19066666666666668,0.6603333333333333,0.14900000000000002,0.074,4.0,0,Yay!,Meh.
ChIJRYeOlsGXwoARCeow7QqvgN4,Kai Ramen Sherman Oaks,15030 Ventura Blvd #23,Sherman Oaks,CA,91403,34.1526662,-118.4612125,False,1.0,4.6,323,"['establishment', 'food', 'point_of_interest', 'restaurant']",(818) 789-3944,+18187893944,https://kairamen.com/,19207,1355,0.2914,0.6923999999999999,0.0162,0.79162,4.8,1yKPHQU_vqGJIzDuCXdGVg,Kai Ramen,2,4.5,720,0.17133333333333334,0.8053333333333333,0.023333333333333334,0.4164666666666666,5.0,1,Yay!,Meh.
ChIJA7Ua8lK5woARCIOgfmsxeuM,iki ramen,740 S Western Ave #116,Los Angeles,CA,90005,34.0583856,-118.3087581,False,2.0,4.7,51,"['establishment', 'food', 'point_of_interest', 'restaurant']",(424) 335-7749,+14243357749,http://www.ikiramen.com/,10550,1463,0.4166,0.5661999999999999,0.0172,0.87456,4.4,0kXAJeO1rL4zxa8sa7zL3g,Iki Ramen,2,4.5,185,0.209,0.7466666666666666,0.044333333333333336,0.6711,4.666666666666667,1,Yay!,Meh.
ChIJe2dJnMu7woAR_q9HDxTyXDo,KOTOYA RAMEN,10422 National Blvd,Los Angeles,CA,90034,34.0287527,-118.4112469,False,1.0,4.7,260,"['establishment', 'food', 'point_of_interest', 'restaurant']",,,http://kotoya-la.com/,4862,606,0.252,0.7220000000000001,0.026000000000000002,0.79694,3.8,fJPNeehpCzvDyIumvz_owg,Kotoya Ramen,2,4.0,495,0.13433333333333333,0.799,0.067,0.16466666666666666,3.3333333333333335,0,Yay!,Meh.
ChIJJcbj0dS6woARQK9WMQISXtY,JINYA Ramen Bar,2400 Main St,Santa Monica,CA,90405,34.0037766,-118.485676,False,2.0,4.5,774,"['establishment', 'food', 'point_of_interest', 'restaurant']",(310) 392-4466,+13103924466,http://www.jinya-ramenbar.com/,13477,1166,0.23120000000000002,0.7522,0.016599999999999997,0.92136,4.6,GfCZ32qx4I-b2DUIykwOrQ,JINYA Ramen Bar,2,4.0,829,0.18866666666666665,0.7216666666666667,0.08966666666666667,0.18216666666666667,3.3333333333333335,1,Yay!,Meh.
